work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size,salary_in_usd
2021,EN,FT,Machine Learning Developer,15000,USD,TH,100,TH,L,15000
2022,EN,FT,Data Analyst,15000,USD,ID,0,ID,L,15000
2020,EN,PT,ML Engineer,14000,EUR,DE,100,DE,S,15966
2021,EN,FT,Big Data Engineer,1200000,INR,IN,100,IN,L,16228
2021,MI,FT,Data Scientist,1250000,INR,IN,100,IN,S,16904
2022,MI,FT,Business Data Analyst,1400000,INR,IN,100,IN,M,17959
2022,EN,FT,Data Scientist,1400000,INR,IN,100,IN,M,17959
2021,MI,FT,Big Data Engineer,18000,USD,MD,0,MD,S,18000
2021,EN,FT,AI Scientist,1335000,INR,IN,100,AS,S,18053
2021,SE,FT,Computer Vision Engineer,102000,BRL,BR,0,BR,M,18907
2021,EN,PT,Computer Vision Software Engineer,120000,DKK,DK,50,DK,L,19073
2021,MI,FT,Lead Data Analyst,1450000,INR,IN,100,IN,L,19609
2022,EN,FT,Data Analyst,20000,USD,CR,50,US,M,20000
2021,EN,FT,Machine Learning Research Engineer,20000,USD,FR,50,FR,M,20000
2022,MI,FT,Data Analyst,20000,USD,GR,100,GR,S,20000
2020,MI,FT,Product Data Analyst,20000,USD,HN,0,HN,S,20000
2022,EN,FT,Data Analytics Engineer,20000,USD,PK,0,PK,M,20000
2021,EN,FT,Machine Learning Engineer,20000,USD,IN,100,IN,S,20000
2021,MI,FL,Data Engineer,20000,USD,IT,0,US,L,20000
2021,SE,FT,Data Scientist,180000,TRY,TR,50,TR,L,20171
2022,EN,FT,ML Engineer,20000,EUR,PT,100,PT,L,21057
2021,EN,FT,Data Engineer,1600000,INR,IN,50,IN,M,21637
2020,EN,PT,Data Scientist,19000,EUR,IT,50,IT,S,21669
2021,EN,FT,Machine Learning Engineer,21844,USD,CO,50,CO,M,21844
2021,MI,FT,Big Data Engineer,1672000,INR,IN,0,IN,L,22611
2022,MI,FT,Machine Learning Scientist,22800,USD,EG,100,EG,M,22800
2020,EN,FT,Data Analyst,20000,EUR,PT,100,PT,M,22809
2022,EN,FT,Data Scientist,1800000,INR,IN,50,IN,M,23090
2022,MI,FT,Data Engineer,24000,USD,US,0,US,M,24000
2022,MI,FT,Data Engineer,24000,USD,US,0,US,M,24000
2021,SE,FT,Computer Vision Engineer,24000,USD,BR,100,BR,M,24000
2021,SE,FT,Machine Learning Engineer,1799997,INR,IN,100,IN,L,24342
2021,EN,FT,Machine Learning Engineer,21000,EUR,DE,50,DE,M,24823
2021,MI,FT,Machine Learning Engineer,21000,EUR,SI,50,SI,L,24823
2022,MI,FT,Data Scientist,25000,USD,TR,50,TR,M,25000
2022,SE,FT,Data Engineer,25000,USD,US,100,US,M,25000
2021,MI,FT,Data Scientist,21600,EUR,RS,100,DE,S,25532
2021,MI,FT,Data Engineer,22000,EUR,RO,0,US,L,26005
2021,MI,FT,Data Engineer,250000,TRY,TR,100,TR,M,28016
2021,MI,FT,Data Engineer,24000,EUR,MT,50,MT,L,28369
2021,EN,FT,Data Scientist,2100000,INR,IN,100,IN,M,28399
2022,EN,FT,Data Analyst,27000,EUR,FR,50,FR,M,28427
2021,MI,FT,Data Engineer,110000,PLN,PL,100,PL,L,28476
2021,EN,PT,Computer Vision Engineer,180000,DKK,DK,50,DK,S,28609
2021,EN,FT,Data Scientist,2200000,INR,IN,50,IN,L,29751
2022,MI,FT,Data Scientist,30000,USD,MX,100,MX,L,30000
2022,EN,FT,Machine Learning Engineer,30000,USD,GB,100,GB,L,30000
2022,SE,FT,Lead Data Scientist,28500,EUR,PT,50,PT,S,30006
2021,EN,FT,Data Engineer,2250000,INR,IN,100,IN,L,30428
2022,EN,CT,Applied Machine Learning Scientist,29000,EUR,TN,100,CZ,M,30533
2022,MI,FL,Applied Machine Learning Scientist,2400000,INR,IN,100,IN,S,30787
2022,MI,FT,Data Scientist,2400000,INR,IN,100,IN,L,30787
2022,EN,FT,AI Scientist,30000,EUR,PT,100,ES,M,31586
2022,EN,FT,Data Scientist,30000,EUR,ES,50,ES,M,31586
2022,MI,FT,Data Analyst,30000,EUR,ES,100,ES,M,31586
2022,MI,FT,Data Analyst,30000,EUR,GR,100,GR,M,31586
2022,MI,FT,Head of Data,30000,EUR,EE,100,EE,S,31586
2022,EN,FT,Data Scientist,27000,GBP,GB,50,GB,L,33440
2020,SE,FT,Data Engineer,720000,MXN,MX,0,MX,S,33511
2022,MI,FT,Data Scientist,150000,PLN,PL,100,PL,L,33681
2021,MI,FT,Data Scientist,2500000,INR,IN,0,IN,M,33808
2022,EN,FT,Machine Learning Engineer,28500,GBP,GB,100,GB,L,35298
2020,MI,FT,Data Scientist,11000000,HUF,HU,50,HU,L,35735
2022,MI,FT,NLP Engineer,240000,CNY,US,50,US,L,35988
2021,MI,FT,BI Data Analyst,11000000,HUF,HU,50,US,L,36259
2021,EN,FT,Data Scientist,31000,EUR,FR,50,FR,L,36643
2022,SE,FT,Data Analyst,35000,EUR,ES,0,ES,M,36850
2022,SE,FT,Data Analyst,35000,EUR,ES,0,ES,M,36850
2022,SE,FT,Data Analyst,35000,EUR,ES,0,ES,M,36850
2022,MI,FT,Data Analyst,30000,GBP,GB,100,GB,M,37156
2022,MI,FT,Data Scientist,30000,GBP,GB,0,GB,M,37156
2021,MI,FT,Data Scientist,32000,EUR,ES,100,ES,L,37825
2022,SE,FT,Data Scientist,36000,EUR,ES,0,ES,M,37903
2022,SE,FT,Data Scientist,36000,EUR,ES,0,ES,M,37903
2022,SE,FT,Data Scientist,38000,USD,US,100,US,M,38000
2022,SE,FT,Data Scientist,38000,USD,US,100,US,M,38000
2022,SE,FT,Data Scientist,38000,USD,US,100,US,M,38000
2021,MI,FT,Applied Machine Learning Scientist,38400,USD,VN,100,US,M,38400
2022,SE,FT,Principal Data Architect,3000000,INR,IN,100,IN,L,38483
2020,MI,FT,Data Scientist,34000,EUR,ES,100,ES,M,38776
2020,EN,FT,Data Scientist,35000,EUR,FR,0,FR,M,39916
2022,EN,FT,Data Scientist,40000,USD,JP,100,MY,L,40000
2022,EN,FT,Data Scientist,38000,EUR,FR,50,FR,L,40009
2021,MI,FT,Data Scientist,30400000,CLP,CL,100,CL,L,40038
2021,MI,FT,Data Science Engineer,34000,EUR,GR,100,GR,M,40189
2020,MI,FT,Data Scientist,3000000,INR,IN,0,IN,L,40481
2021,SE,FT,Lead Data Scientist,3000000,INR,IN,50,IN,L,40570
2020,EN,FT,Data Engineer,4450000,JPY,JP,100,JP,S,41689
2022,MI,FT,Data Engineer,42000,USD,BR,100,BR,M,42000
2020,EN,FT,Research Scientist,42000,USD,NL,50,NL,L,42000
2021,EN,FT,Data Analyst,56000,AUD,AU,50,AU,L,42028
2022,SE,FT,Data Engineer,40000,EUR,PT,0,PT,M,42114
2022,MI,FT,Data Analyst,40000,EUR,ES,100,ES,M,42114
2022,MI,FT,Data Analyst,40000,EUR,GR,100,GR,M,42114
2020,MI,FT,Data Scientist,37000,EUR,FR,50,FR,S,42197
2020,MI,FT,Machine Learning Engineer,299000,CNY,CN,0,CN,M,43331
2022,MI,FT,Data Scientist,35000,GBP,GB,0,GB,M,43349
2022,EN,FT,Data Engineer,35000,GBP,GB,100,GB,M,43349
2022,MI,FT,Data Analyst,35000,GBP,GB,0,GB,M,43349
2022,MI,FT,BI Data Analyst,65000,AUD,AU,50,AU,L,45388
2021,EN,FT,Data Engineer,33000,GBP,GB,50,GB,L,45390
2021,MI,FT,Data Engineer,38400,EUR,NL,100,NL,L,45391
2020,SE,FT,Machine Learning Engineer,40000,EUR,HR,100,HR,S,45618
2020,MI,FT,Data Scientist,45760,USD,PH,100,US,S,45760
2020,EN,FT,AI Scientist,300000,DKK,DK,50,DK,S,45896
2022,EN,FT,Data Analyst,46000,USD,US,100,US,L,46000
2021,MI,FT,Machine Learning Engineer,180000,PLN,PL,100,PL,L,46597
2020,MI,FT,Data Analyst,41000,EUR,FR,50,FR,L,46759
2021,MI,FT,Data Scientist,39600,EUR,ES,100,ES,M,46809
2021,MI,FT,Machine Learning Engineer,40000,EUR,ES,100,ES,S,47282
2022,SE,FT,Data Scientist,45000,EUR,ES,0,ES,M,47379
2022,SE,FT,Data Scientist,45000,EUR,ES,0,ES,M,47379
2022,MI,FT,Data Engineer,45000,EUR,ES,100,ES,M,47379
2022,MI,FT,Data Engineer,45000,EUR,GR,100,GR,M,47379
2020,SE,FT,Data Engineer,42000,EUR,GR,50,GR,L,47899
2022,MI,FT,Analytics Engineer,48000,USD,BR,100,BR,M,48000
2022,MI,FT,BI Analyst,48000,USD,BR,100,BR,M,48000
2022,SE,FT,Analytics Engineer,48000,USD,AR,100,US,S,48000
2022,MI,FT,Data Scientist,48000,USD,RU,100,US,S,48000
2020,EN,FT,Data Scientist,43200,EUR,DE,0,DE,S,49268
2022,EN,FT,Data Engineer,40000,GBP,GB,100,GB,M,49542
2022,MI,FT,Data Analyst,40000,GBP,GB,100,GB,M,49542
2022,MI,FT,Data Engineer,40000,GBP,GB,0,GB,M,49542
2022,EN,FT,Data Engineer,40000,GBP,GB,100,GB,M,49542
2021,EN,FT,Data Scientist,42000,EUR,FR,50,FR,M,49646
2022,SE,FT,Data Scientist,50000,USD,US,100,US,M,50000
2022,SE,FT,Data Engineer,50000,USD,US,100,US,M,50000
2022,SE,FT,Data Scientist,50000,USD,US,100,US,M,50000
2022,EN,FT,AI Scientist,50000,USD,US,100,US,M,50000
2022,EN,FT,Business Data Analyst,50000,USD,IN,100,AS,L,50000
2022,EN,FT,Data Scientist,50000,USD,US,50,DE,M,50000
2021,SE,FT,Data Analyst,50000,USD,PH,100,PH,S,50000
2022,EN,FT,Data Analyst,50000,USD,AR,100,AR,L,50000
2022,EN,FT,Applied Data Scientist,50000,USD,AT,50,AT,M,50000
2022,MI,FT,Data Analyst,50000,USD,US,100,US,M,50000
2021,EN,FT,Data Analyst,50000,USD,US,100,US,M,50000
2021,MI,FT,Data Scientist,50000,USD,NG,100,NG,L,50000
2021,SE,FT,Data Analytics Engineer,50000,USD,VN,100,GB,M,50000
2021,SE,FT,Research Scientist,50000,USD,FR,100,US,S,50000
2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,PT,0,PT,M,50180
2022,SE,FT,Data Analyst,48000,EUR,ES,0,ES,M,50537
2022,SE,FT,Data Analyst,48000,EUR,ES,0,ES,M,50537
2022,SE,FT,Data Analyst,48000,EUR,ES,0,ES,M,50537
2022,MI,FT,BI Data Analyst,48000,EUR,DE,100,DE,S,50537
2021,MI,FT,Machine Learning Engineer,43200,EUR,IT,50,IT,L,51064
2020,EN,FT,Data Scientist,45000,EUR,FR,0,FR,S,51321
2022,EN,FT,Data Scientist,66500,CAD,CA,100,CA,L,51459
2021,MI,FT,Data Analyst,37456,GBP,GB,50,GB,L,51519
2022,EN,FT,Data Analyst,52000,USD,CA,0,CA,M,52000
2022,EN,FT,Data Scientist,49500,EUR,BE,50,BE,S,52117
2022,SE,FT,Data Analyst,52500,USD,US,0,US,M,52500
2022,MI,FT,Data Analyst,52500,USD,US,0,US,M,52500
2022,MI,FT,ETL Developer,50000,EUR,GR,0,GR,M,52643
2022,MI,FT,ETL Developer,50000,EUR,GR,0,GR,M,52643
2022,MI,PT,Data Engineer,50000,EUR,DE,50,DE,L,52643
2021,SE,FT,Data Scientist,45000,EUR,FR,50,FR,L,53192
2022,MI,FT,BI Data Analyst,77000,AUD,AU,100,AU,M,53767
2022,MI,FT,Data Scientist,4200000,INR,IN,100,ID,L,53877
2022,MI,FT,Data Scientist,54000,USD,BR,100,BR,M,54000
2022,MI,FT,Analytics Engineer,54000,USD,US,0,US,M,54000
2022,SE,FT,Data Engineer,54000,USD,US,0,US,M,54000
2021,SE,FT,Data Science Manager,4000000,INR,IN,50,US,L,54094
2021,MI,FT,Applied Data Scientist,68000,CAD,GB,50,CA,L,54238
2020,EN,FT,Data Engineer,48000,EUR,PK,100,DE,L,54742
2022,MI,FT,Data Scientist,52000,EUR,NL,100,NL,S,54749
2022,SE,FT,Data Scientist,55000,USD,US,100,US,S,55000
2022,EN,FT,Data Analyst,55000,USD,US,100,US,S,55000
2021,EN,FT,BI Data Analyst,55000,USD,US,50,US,S,55000
2021,SE,FT,AI Scientist,55000,USD,ES,100,ES,L,55000
2022,EN,FT,Data Engineer,52800,EUR,PK,100,DE,M,55591
2022,EN,FT,Machine Learning Engineer,45000,GBP,GB,100,GB,S,55734
2022,MI,FT,Data Engineer,45000,GBP,GB,100,GB,M,55734
2022,MI,FT,Machine Learning Infrastructure Engineer,53000,EUR,PT,50,PT,L,55802
2020,MI,FT,Lead Data Engineer,56000,USD,PT,100,US,M,56000
2021,MI,FT,Data Scientist,40900,GBP,GB,50,GB,L,56256
2021,MI,FT,Research Scientist,48000,EUR,FR,50,FR,S,56738
2022,EN,FT,BI Data Analyst,57000,USD,US,100,US,L,57000
2022,SE,FT,Director of Data Science,55000,EUR,FR,50,FR,L,57908
2022,MI,FT,Data Analyst,58000,USD,US,0,US,S,58000
2022,MI,FT,Data Analyst,58000,USD,US,0,US,S,58000
2021,EN,FT,Data Scientist,58000,USD,US,50,US,L,58000
2022,MI,FT,Data Scientist,47000,GBP,GB,50,GB,M,58211
2021,EN,FT,Data Analyst,50000,EUR,FR,50,FR,M,59102
2021,EN,FT,Business Data Analyst,50000,EUR,LU,100,LU,L,59102
2020,MI,FT,Data Engineering Manager,51999,EUR,DE,100,DE,S,59303
2022,MI,FT,Data Operations Engineer,60000,USD,US,100,US,M,60000
2022,MI,CT,NLP Engineer,60000,USD,IN,100,US,S,60000
2022,MI,FT,Data Operations Engineer,60000,USD,US,100,US,M,60000
2022,MI,FT,Data Operations Engineer,60000,USD,US,100,US,M,60000
2022,SE,FT,Data Science Engineer,60000,USD,AR,100,MX,L,60000
2022,SE,FT,Data Analyst,60000,USD,US,100,US,M,60000
2021,MI,FT,Big Data Engineer,60000,USD,ES,50,RO,M,60000
2021,EN,FT,Data Analyst,60000,USD,US,100,US,S,60000
2020,SE,FL,Computer Vision Engineer,60000,USD,RU,100,US,S,60000
2022,SE,FT,Machine Learning Engineer,57000,EUR,NL,100,NL,L,60013
2021,SE,FT,Research Scientist,51400,EUR,PT,50,PT,L,60757
2022,MI,FT,Data Scientist,58000,EUR,DE,100,DE,S,61066
2022,SE,FT,Data Analyst,61300,USD,CA,100,CA,M,61300
2022,SE,FT,Data Analyst,61300,USD,CA,100,CA,M,61300
2021,MI,FT,Data Scientist,52000,EUR,DE,50,AT,M,61467
2021,SE,FT,Finance Data Analyst,45000,GBP,GB,50,GB,L,61896
2022,EN,FT,Data Engineer,50000,GBP,GB,100,GB,M,61927
2022,SE,FT,Data Analyst,50000,GBP,GB,0,GB,M,61927
2022,MI,FT,Lead Data Scientist,50000,GBP,GB,50,GB,S,61927
2022,MI,FT,Data Engineer,50000,GBP,GB,0,GB,M,61927
2022,MI,FT,Data Scientist,50000,GBP,GB,0,GB,M,61927
2022,SE,FT,Data Engineer,50000,GBP,GB,0,GB,M,61927
2022,MI,FT,Data Analyst,50000,GBP,GB,0,GB,M,61927
2022,MI,FT,Data Analyst,62000,USD,US,0,US,M,62000
2021,MI,FT,Data Analyst,62000,USD,US,0,US,L,62000
2022,MI,FT,Research Scientist,59000,EUR,AT,0,AT,L,62119
2021,MI,FT,Research Scientist,53000,EUR,FR,50,FR,M,62649
2020,EN,FT,Data Scientist,55000,EUR,DE,50,DE,S,62726
2020,MI,FT,Data Scientist,55000,EUR,FR,50,LU,S,62726
2022,SE,FT,ETL Developer,63000,USD,US,100,US,M,63000
2022,SE,FT,ETL Developer,63000,USD,US,100,US,M,63000
2022,SE,FT,Data Engineer,63000,USD,US,100,US,M,63000
2022,SE,FT,Data Engineer,63000,USD,US,100,US,M,63000
2022,SE,FT,Analytics Engineer,63000,USD,US,0,US,M,63000
2022,SE,FT,Analytics Engineer,63000,USD,US,0,US,M,63000
2022,SE,FT,Data Engineer,63000,USD,US,0,US,M,63000
2022,SE,FT,ETL Developer,63000,USD,US,0,US,M,63000
2022,SE,FT,Data Architect,63000,USD,US,0,US,M,63000
2022,SE,FT,Data Engineer,63000,USD,US,0,US,M,63000
2022,SE,FT,Data Engineer,63000,USD,US,0,US,M,63000
2022,SE,FT,Data Architect,63000,USD,US,0,US,M,63000
2022,SE,FT,Data Engineer,63000,USD,US,0,US,M,63000
2022,SE,FT,Machine Learning Engineer,60000,EUR,FI,50,FI,S,63172
2022,MI,FT,Data Engineer,60000,EUR,ES,100,ES,M,63172
2022,MI,FT,Data Engineer,60000,EUR,GR,100,GR,M,63172
2021,MI,FT,ML Engineer,7000000,JPY,JP,50,JP,S,63711
2021,MI,FT,Research Scientist,80000,CAD,CA,100,CA,M,63810
2021,EN,FT,Data Science Consultant,54000,EUR,DE,50,DE,L,63831
2021,SE,FT,Data Analyst,54000,EUR,DE,50,DE,L,63831
2022,MI,FT,Data Engineer,63900,USD,US,0,US,M,63900
2022,EN,FT,Data Analyst,64000,USD,US,100,US,L,64000
2022,MI,FT,Data Analyst,65000,USD,US,0,US,M,65000
2022,SE,FT,Machine Learning Engineer,65000,USD,AE,100,AE,S,65000
2022,EN,FT,Data Engineer,65000,USD,US,100,US,S,65000
2021,EN,FT,Data Engineer,55000,EUR,DE,50,DE,M,65013
2022,MI,FT,Data Analyst,90000,SGD,SG,50,SG,M,65161
2022,MI,FT,Data Engineer,62000,EUR,FR,100,FR,M,65278
2022,MI,FT,Data Engineer,62500,EUR,DE,50,DE,S,65804
2022,SE,FT,Data Architect,66000,USD,US,100,US,M,66000
2022,SE,FT,Data Operations Analyst,66000,USD,US,100,US,M,66000
2021,MI,FT,Data Engineer,48000,GBP,HK,50,GB,S,66022
2021,SE,FT,Machine Learning Engineer,4900000,INR,IN,0,IN,L,66265
2022,EN,FT,Data Analyst,67000,USD,CA,0,CA,M,67000
2022,MI,FT,Data Scientist,88000,CAD,CA,100,CA,M,68096
2022,MI,FT,Data Engineer,55000,GBP,GB,100,GB,M,68120
2022,MI,FT,Data Engineer,55000,GBP,GB,100,GB,M,68120
2022,MI,FT,Data Engineer,55000,GBP,GB,100,GB,M,68120
2022,MI,FT,Data Scientist,55000,GBP,GB,0,GB,M,68120
2022,SE,FT,Data Analyst,68400,USD,US,100,US,M,68400
2020,SE,FT,Data Scientist,60000,EUR,GR,100,US,L,68428
2022,SE,FT,Machine Learning Engineer,65000,EUR,IE,100,IE,S,68436
2022,SE,FT,Data Analyst,69000,USD,US,100,US,M,69000
2022,SE,FT,Lead Machine Learning Engineer,66000,EUR,PT,100,PT,L,69489
2022,MI,FT,Business Data Analyst,90000,CAD,CA,50,CA,L,69643
2021,MI,PT,Data Engineer,59000,EUR,NL,100,NL,L,69741
2021,EX,FT,Data Science Consultant,59000,EUR,FR,100,ES,S,69741
2021,MI,FT,Research Scientist,69999,USD,CZ,50,CZ,L,69999
2022,SE,FT,Data Operations Engineer,70000,USD,US,0,US,M,70000
2022,SE,FT,Data Specialist,70000,USD,US,100,US,M,70000
2020,EN,FT,Big Data Engineer,70000,USD,US,100,US,L,70000
2021,EN,FT,Computer Vision Software Engineer,70000,USD,US,100,US,M,70000
2020,MI,FT,Data Engineer,61500,EUR,FR,50,FR,L,70139
2022,SE,FT,Data Engineer,70500,USD,US,0,US,M,70500
2021,SE,FT,Data Analyst,90000,CAD,CA,100,CA,M,71786
2020,EN,FT,Data Analyst,72000,USD,US,100,US,L,72000
2021,MI,FT,Data Engineer,52500,GBP,GB,50,GB,L,72212
2021,EN,FT,Data Engineer,72500,USD,US,100,US,L,72500
2022,EN,FT,Data Scientist,73000,USD,US,0,US,M,73000
2021,MI,FT,Data Scientist,73000,USD,US,0,US,L,73000
2022,SE,FT,Data Engineer,70000,EUR,PT,0,PT,M,73701
2022,MI,FT,Data Scientist,70000,EUR,NL,50,NL,L,73701
2022,MI,FT,Data Engineer,70000,EUR,GR,100,GR,M,73701
2022,MI,FT,Data Engineer,70000,EUR,ES,100,ES,M,73701
2022,MI,FT,Data Engineer,70000,EUR,ES,100,ES,M,73701
2022,MI,FT,Data Engineer,70000,EUR,GR,100,GR,M,73701
2021,MI,FT,Machine Learning Engineer,74000,USD,JP,50,JP,S,74000
2020,MI,FT,Data Engineer,65000,EUR,AT,50,AT,L,74130
2022,EN,FT,Data Scientist,96000,CAD,CA,100,CA,L,74286
2022,MI,FT,Data Engineer,60000,GBP,GB,0,GB,M,74313
2022,MI,FT,Data Engineer,60000,GBP,GB,100,GB,M,74313
2022,MI,FT,Data Engineer,60000,GBP,GB,100,GB,M,74313
2022,MI,FT,Data Engineer,60000,GBP,GB,0,GB,M,74313
2022,SE,FT,Data Engineer,60000,GBP,GB,0,GB,M,74313
2022,MI,FT,Financial Data Analyst,75000,USD,US,0,US,M,75000
2022,MI,FT,Applied Machine Learning Scientist,75000,USD,BO,100,US,M,75000
2022,MI,FT,Data Analyst,75000,USD,CA,0,CA,M,75000
2022,MI,FT,Applied Machine Learning Scientist,75000,USD,BO,100,US,L,75000
2022,MI,FT,Principal Data Analyst,75000,USD,CA,100,CA,S,75000
2021,MI,FT,Data Analyst,75000,USD,US,0,US,L,75000
2021,MI,FT,Data Engineer,100000,AUD,AU,50,AU,L,75050
2021,MI,FT,Data Scientist,95000,CAD,CA,100,CA,L,75774
2022,MI,FT,Data Scientist,72000,EUR,DE,100,DE,S,75806
2022,EN,FT,BI Analyst,76000,USD,US,50,US,L,76000
2021,EN,FT,Data Science Consultant,65000,EUR,DE,100,DE,S,76833
2021,EN,FT,Data Science Consultant,65000,EUR,DE,0,DE,L,76833
2021,SE,FT,Data Engineer,65000,EUR,RO,50,GB,S,76833
2020,MI,FT,Data Scientist,60000,GBP,GB,100,GB,S,76958
2022,EX,FT,Head of Machine Learning,6000000,INR,IN,50,IN,L,76967
2022,SE,FT,Applied Machine Learning Scientist,73400,EUR,FR,100,GB,L,77280
2021,MI,FT,ML Engineer,8500000,JPY,JP,50,JP,S,77364
2022,MI,FT,Machine Learning Developer,100000,CAD,CA,100,CA,M,77382
2022,SE,FT,Machine Learning Developer,100000,CAD,CA,100,CA,M,77382
2021,SE,FT,Data Scientist,65720,EUR,FR,50,FR,M,77684
2022,MI,FT,Data Scientist,78000,USD,US,100,US,M,78000
2022,MI,FT,Analytics Engineer,78000,USD,BR,100,BR,M,78000
2022,MI,FT,Data Engineer,78000,USD,BR,100,BR,M,78000
2022,MI,FT,BI Analyst,78000,USD,BR,100,BR,M,78000
2022,MI,FT,Data Scientist,78000,USD,US,100,US,M,78000
2021,SE,FT,Data Analytics Engineer,67000,EUR,DE,100,DE,L,79197
2020,EX,FT,Data Engineering Manager,70000,EUR,ES,50,ES,L,79833
2020,MI,FT,Data Scientist,70000,EUR,DE,0,DE,L,79833
2022,SE,FT,Data Analyst,80000,USD,US,0,US,M,80000
2022,MI,FT,Data Analyst,80000,USD,US,0,US,M,80000
2022,EN,FT,Data Scientist,80000,USD,US,100,US,L,80000
2022,SE,FT,Data Engineer,80000,USD,US,100,US,M,80000
2022,EN,FT,Data Engineer,80000,USD,US,100,US,L,80000
2022,SE,FT,Data Engineer,80000,USD,US,0,US,L,80000
2022,SE,FT,Data Scientist,80000,USD,US,0,US,M,80000
2022,SE,FT,Data Analyst,80000,USD,US,100,US,M,80000
2022,SE,FT,Data Engineer,80000,USD,US,100,US,M,80000
2021,EN,FT,Data Scientist,80000,USD,US,100,US,M,80000
2021,EN,FT,Data Engineer,80000,USD,US,100,US,L,80000
2021,SE,FT,Data Analyst,80000,USD,BG,100,US,S,80000
2021,EN,FT,Data Analyst,80000,USD,US,100,US,M,80000
2021,MI,FT,Data Analyst,80000,USD,US,100,US,L,80000
2022,MI,FT,Data Engineer,65000,GBP,GB,100,GB,M,80505
2022,MI,FT,Data Engineer,65000,GBP,GB,100,GB,M,80505
2022,MI,FT,Data Scientist,65000,GBP,GB,50,GB,M,80505
2022,SE,FT,Analytics Engineer,65004,GBP,GB,100,GB,M,80510
2022,SE,FT,Data Operations Analyst,81000,USD,US,100,US,M,81000
2021,EN,FT,Machine Learning Engineer,81000,USD,US,50,US,S,81000
2022,SE,FT,Data Architect,81500,USD,US,0,US,M,81500
2022,SE,FT,Data Analyst,81666,USD,US,100,US,M,81666
2022,SE,FT,Data Analyst,81666,USD,US,0,US,M,81666
2022,SE,FT,Data Analyst,81666,USD,US,100,US,M,81666
2022,EN,FT,Data Scientist,82000,USD,US,0,US,L,82000
2021,MI,FT,Data Scientist,82500,USD,US,100,US,S,82500
2021,MI,FT,Data Engineer,60000,GBP,GB,100,GB,L,82528
2021,EN,FT,Research Scientist,60000,GBP,GB,50,GB,L,82528
2021,SE,FT,Machine Learning Engineer,70000,EUR,BE,50,BE,M,82744
2022,SE,FT,Data Engineer,66822,GBP,GB,100,GB,M,82762
2022,MI,FT,Data Engineer,82900,USD,US,0,US,M,82900
2022,EN,FT,Machine Learning Engineer,83000,USD,US,0,US,L,83000
2022,MI,FT,Data Scientist,120000,AUD,AU,0,AU,L,83793
2022,EN,FT,Data Scientist,120000,AUD,AU,50,AU,M,83793
