job_title,Salary_In_USD,Remote_Ratio,Company_Size,Experience_Level,Work_Year,Company_Location
Data Scientist,38000,2,1,2,2,0
Data Scientist,38000,2,1,2,2,0
Applied Machine Learning Scientist,38400,2,1,1,1,0
Principal Data Architect,38483,2,2,2,2,1
Data Scientist,38776,2,1,1,0,1
Data Scientist,39916,0,1,0,0,1
Data Scientist,40000,2,2,0,2,1
Data Scientist,40009,1,2,0,2,1
Data Scientist,40038,2,2,1,1,1
Data Science Engineer,40189,2,1,1,1,1
Data Scientist,40481,0,2,1,0,1
Lead Data Scientist,40570,1,2,2,1,1
Data Engineer,41689,2,0,0,0,1
Data Engineer,42000,2,1,1,2,1
Research Scientist,42000,1,2,0,0,1
Data Analyst,42028,1,2,0,1,1
Data Engineer,42114,0,1,2,2,1
Data Analyst,42114,2,1,1,2,1
Data Analyst,42114,2,1,1,2,1
Data Scientist,42197,1,0,1,0,1
Machine Learning Engineer,43331,0,1,1,0,1
Data Scientist,43349,0,1,1,2,1
Data Engineer,43349,2,1,0,2,1
Data Analyst,43349,0,1,1,2,1
BI Data Analyst,45388,1,2,1,2,1
Data Engineer,45390,1,2,0,1,1
Data Engineer,45391,2,2,1,1,1
Machine Learning Engineer,45618,2,0,2,0,1
Data Scientist,45760,2,0,1,0,0
AI Scientist,45896,1,0,0,0,1
Data Analyst,46000,2,2,0,2,0
Machine Learning Engineer,46597,2,2,1,1,1
Data Analyst,46759,1,2,1,0,1
Data Scientist,46809,2,1,1,1,1
Machine Learning Engineer,47282,2,0,1,1,1
Data Scientist,47379,0,1,2,2,1
Data Scientist,47379,0,1,2,2,1
Data Engineer,47379,2,1,1,2,1
Data Engineer,47379,2,1,1,2,1
Data Engineer,47899,1,2,2,0,1
Analytics Engineer,48000,2,1,1,2,1
BI Analyst,48000,2,1,1,2,1
Analytics Engineer,48000,2,0,2,2,0
Data Scientist,48000,2,0,1,2,0
Data Scientist,49268,0,0,0,0,1
Data Engineer,49542,2,1,0,2,1
Data Analyst,49542,2,1,1,2,1
Data Engineer,49542,0,1,1,2,1
Data Engineer,49542,2,1,0,2,1
Data Scientist,49646,1,1,0,1,1
Data Scientist,50000,2,1,2,2,0
Data Engineer,50000,2,1,2,2,0
Data Scientist,50000,2,1,2,2,0
AI Scientist,50000,2,1,0,2,0
Business Data Analyst,50000,2,2,0,2,1
Data Scientist,50000,1,1,0,2,1
Data Analyst,50000,2,0,2,1,1
Data Analyst,50000,2,2,0,2,1
Applied Data Scientist,50000,1,1,0,2,1
Data Analyst,50000,2,1,1,2,0
Data Analyst,50000,2,1,0,1,0
Data Scientist,50000,2,2,1,1,1
Data Analytics Engineer,50000,2,1,2,1,1
Research Scientist,50000,2,0,2,1,0
Machine Learning Infrastructure Engineer,50180,0,1,1,0,1
Data Analyst,50537,0,1,2,2,1
Data Analyst,50537,0,1,2,2,1
Data Analyst,50537,0,1,2,2,1
BI Data Analyst,50537,2,0,1,2,1
Machine Learning Engineer,51064,1,2,1,1,1
Data Scientist,51321,0,0,0,0,1
Data Scientist,51459,2,2,0,2,1
Data Analyst,51519,1,2,1,1,1
Data Analyst,52000,0,1,0,2,1
Data Scientist,52117,1,0,0,2,1
Data Analyst,52500,0,1,2,2,0
Data Analyst,52500,0,1,1,2,0
ETL Developer,52643,0,1,1,2,1
ETL Developer,52643,0,1,1,2,1
Data Engineer,52643,1,2,1,2,1
Data Scientist,53192,1,2,2,1,1
BI Data Analyst,53767,2,1,1,2,1
Data Scientist,53877,2,2,1,2,1
Data Scientist,54000,2,1,1,2,1
Analytics Engineer,54000,0,1,1,2,0
Data Engineer,54000,0,1,2,2,0
Data Science Manager,54094,1,2,2,1,0
Applied Data Scientist,54238,1,2,1,1,1
Data Engineer,54742,2,2,0,0,1
Data Scientist,54749,2,0,1,2,1
Data Scientist,55000,2,0,2,2,0
Data Analyst,55000,2,0,0,2,0
BI Data Analyst,55000,1,0,0,1,0
AI Scientist,55000,2,2,2,1,1
Data Engineer,55591,2,1,0,2,1
Machine Learning Engineer,55734,2,0,0,2,1
Data Engineer,55734,2,1,1,2,1
Machine Learning Infrastructure Engineer,55802,1,2,1,2,1
Lead Data Engineer,56000,2,1,1,0,0
Data Scientist,56256,1,2,1,1,1
Research Scientist,56738,1,0,1,1,1
BI Data Analyst,57000,2,2,0,2,0
Director of Data Science,57908,1,2,2,2,1
Data Analyst,58000,0,0,1,2,0
Data Analyst,58000,0,0,1,2,0
Data Scientist,58000,1,2,0,1,0
Data Scientist,58211,1,1,1,2,1
Data Analyst,59102,1,1,0,1,1
Business Data Analyst,59102,2,2,0,1,1
Data Engineering Manager,59303,2,0,1,0,1
Data Operations Engineer,60000,2,1,1,2,0
NLP Engineer,60000,2,0,1,2,0
Data Operations Engineer,60000,2,1,1,2,0
Data Operations Engineer,60000,2,1,1,2,0
Data Science Engineer,60000,2,2,2,2,1
Data Analyst,60000,2,1,2,2,0
Big Data Engineer,60000,1,1,1,1,1
Data Analyst,60000,2,0,0,1,0
Computer Vision Engineer,60000,2,0,2,0,0
Machine Learning Engineer,60013,2,2,2,2,1
Research Scientist,60757,1,2,2,1,1
Data Scientist,61066,2,0,1,2,1
Data Analyst,61300,2,1,2,2,1
Data Analyst,61300,2,1,2,2,1
Data Scientist,61467,1,1,1,1,1
Finance Data Analyst,61896,1,2,2,1,1
Data Engineer,61927,2,1,0,2,1
Data Analyst,61927,0,1,2,2,1
Lead Data Scientist,61927,1,0,1,2,1
Data Engineer,61927,0,1,1,2,1
Data Scientist,61927,0,1,1,2,1
Data Engineer,61927,0,1,2,2,1
Data Analyst,61927,0,1,1,2,1
Data Analyst,62000,0,1,1,2,0
Data Analyst,62000,0,2,1,1,0
Research Scientist,62119,0,2,1,2,1
Research Scientist,62649,1,1,1,1,1
Data Scientist,62726,1,0,0,0,1
Data Scientist,62726,1,0,1,0,1
ETL Developer,63000,2,1,2,2,0
ETL Developer,63000,2,1,2,2,0
Data Engineer,63000,2,1,2,2,0
Data Engineer,63000,2,1,2,2,0
Analytics Engineer,63000,0,1,2,2,0
Analytics Engineer,63000,0,1,2,2,0
Data Engineer,63000,0,1,2,2,0
ETL Developer,63000,0,1,2,2,0
Data Architect,63000,0,1,2,2,0
Data Engineer,63000,0,1,2,2,0
Data Engineer,63000,0,1,2,2,0
Data Architect,63000,0,1,2,2,0
Data Engineer,63000,0,1,2,2,0
Machine Learning Engineer,63172,1,0,2,2,1
Data Engineer,63172,2,1,1,2,1
Data Engineer,63172,2,1,1,2,1
ML Engineer,63711,1,0,1,1,1
Research Scientist,63810,2,1,1,1,1
Data Science Consultant,63831,1,2,0,1,1
Data Analyst,63831,1,2,2,1,1
Data Engineer,63900,0,1,1,2,0
Data Analyst,64000,2,2,0,2,0
Data Analyst,65000,0,1,1,2,0
Machine Learning Engineer,65000,2,0,2,2,1
Data Engineer,65000,2,0,0,2,0
Data Engineer,65013,1,1,0,1,1
Data Analyst,65161,1,1,1,2,1
Data Engineer,65278,2,1,1,2,1
Data Engineer,65804,1,0,1,2,1
Data Architect,66000,2,1,2,2,0
Data Operations Analyst,66000,2,1,2,2,0
Data Engineer,66022,1,0,1,1,1
Machine Learning Engineer,66265,0,2,2,1,1
Data Analyst,67000,0,1,0,2,1
Data Scientist,68096,2,1,1,2,1
Data Engineer,68120,2,1,1,2,1
Data Engineer,68120,2,1,1,2,1
Data Engineer,68120,2,1,1,2,1
Data Scientist,68120,0,1,1,2,1
Data Analyst,68400,2,1,2,2,0
Data Scientist,68428,2,2,2,0,0
Machine Learning Engineer,68436,2,0,2,2,1
Data Analyst,69000,2,1,2,2,0
Lead Machine Learning Engineer,69489,2,2,2,2,1
Business Data Analyst,69643,1,2,1,2,1
Data Engineer,69741,2,2,1,1,1
Data Science Consultant,69741,2,0,3,1,1
Research Scientist,69999,1,2,1,1,1
Data Operations Engineer,70000,0,1,2,2,0
Data Specialist,70000,2,1,2,2,0
Big Data Engineer,70000,2,2,0,0,0
Computer Vision Software Engineer,70000,2,1,0,1,0
Data Engineer,70139,1,2,1,0,1
Data Engineer,70500,0,1,2,2,0
Data Analyst,71786,2,1,2,1,1
Data Analyst,72000,2,2,0,0,0
Data Engineer,72212,1,2,1,1,1
Data Engineer,72500,2,2,0,1,0
Data Scientist,73000,0,1,0,2,0
Data Scientist,73000,0,2,1,1,0
Data Engineer,73701,0,1,2,2,1
Data Scientist,73701,1,2,1,2,1
Data Engineer,73701,2,1,1,2,1
Data Engineer,73701,2,1,1,2,1
Data Engineer,73701,2,1,1,2,1
Data Engineer,73701,2,1,1,2,1
Machine Learning Engineer,74000,1,0,1,1,1
Data Engineer,74130,1,2,1,0,1
Data Scientist,74286,2,2,0,2,1
Data Engineer,74313,0,1,1,2,1
Data Engineer,74313,2,1,1,2,1
Data Engineer,74313,2,1,1,2,1
Data Engineer,74313,0,1,1,2,1
Data Engineer,74313,0,1,2,2,1
Financial Data Analyst,75000,0,1,1,2,0
Applied Machine Learning Scientist,75000,2,1,1,2,0
Data Analyst,75000,0,1,1,2,1
Applied Machine Learning Scientist,75000,2,2,1,2,0
Principal Data Analyst,75000,2,0,1,2,1
Data Analyst,75000,0,2,1,1,0
Data Engineer,75050,1,2,1,1,1
Data Scientist,75774,2,2,1,1,1
Data Scientist,75806,2,0,1,2,1
BI Analyst,76000,1,2,0,2,0
Data Science Consultant,76833,2,0,0,1,1
Data Science Consultant,76833,0,2,0,1,1
Data Engineer,76833,1,0,2,1,1
Data Scientist,76958,2,0,1,0,1
Head of Machine Learning,76967,1,2,3,2,1
Applied Machine Learning Scientist,77280,2,2,2,2,1
ML Engineer,77364,1,0,1,1,1
Machine Learning Developer,77382,2,1,1,2,1
Machine Learning Developer,77382,2,1,2,2,1
Data Scientist,77684,1,1,2,1,1
Data Scientist,78000,2,1,1,2,0
Analytics Engineer,78000,2,1,1,2,1
Data Engineer,78000,2,1,1,2,1
BI Analyst,78000,2,1,1,2,1
Data Scientist,78000,2,1,1,2,0
Data Analytics Engineer,79197,2,2,2,1,1
Data Engineering Manager,79833,1,2,3,0,1
Data Scientist,79833,0,2,1,0,1
Data Analyst,80000,0,1,2,2,0
Data Analyst,80000,0,1,1,2,0
Data Scientist,80000,2,2,0,2,0
Data Engineer,80000,2,1,2,2,0
Data Engineer,80000,2,2,0,2,0
Data Engineer,80000,0,2,2,2,0
Data Scientist,80000,0,1,2,2,0
Data Analyst,80000,2,1,2,2,0
Data Engineer,80000,2,1,2,2,0
Data Scientist,80000,2,1,0,1,0
Data Engineer,80000,2,2,0,1,0
Data Analyst,80000,2,0,2,1,0
Data Analyst,80000,2,1,0,1,0
Data Analyst,80000,2,2,1,1,0
Data Engineer,80505,2,1,1,2,1
Data Engineer,80505,2,1,1,2,1
Data Scientist,80505,1,1,1,2,1
Analytics Engineer,80510,2,1,2,2,1
Data Operations Analyst,81000,2,1,2,2,0
Machine Learning Engineer,81000,1,0,0,1,0
Data Architect,81500,0,1,2,2,0
Data Analyst,81666,2,1,2,2,0
Data Analyst,81666,0,1,2,2,0
Data Analyst,81666,2,1,2,2,0
Data Scientist,82000,0,2,0,2,0
Data Scientist,82500,2,0,1,1,0
Data Engineer,82528,2,2,1,1,1
Research Scientist,82528,1,2,0,1,1
Machine Learning Engineer,82744,1,1,2,1,1
Data Engineer,82762,2,1,2,2,1
Data Engineer,82900,0,1,1,2,0
Machine Learning Engineer,83000,0,2,0,2,0
Data Scientist,83793,0,2,1,2,1
Data Scientist,83793,1,1,0,2,1
Data Scientist,84000,2,1,1,2,1
ML Engineer,84000,2,1,2,2,0
Research Scientist,84229,0,0,1,2,1
Data Engineer,84229,2,1,1,2,1
Data Engineer,84229,2,1,1,2,1
Data Scientist,84229,2,2,0,2,1
Research Scientist,84229,0,2,3,2,1
Machine Learning Engineer,84229,2,1,1,2,1
Data Engineer,84229,2,1,1,2,1
Data Engineer,84229,2,1,1,2,1
Lead Machine Learning Engineer,84229,0,1,2,2,1
Machine Learning Engineer,84491,2,2,1,2,1
Data Analyst,84900,2,1,2,2,0
Data Scientist,85000,2,1,1,2,0
Data Analyst,85000,0,1,1,2,0
Analytics Engineer,85000,2,1,1,2,0
Data Engineer,85000,2,1,2,2,0
Data Engineer,85000,2,1,2,2,0
Data Engineer,85000,2,1,2,2,0
Data Engineer,85000,2,1,2,2,0
Machine Learning Engineer,85000,2,1,2,2,0
Data Analyst,85000,0,1,1,2,1
Head of Data Science,85000,0,1,3,1,1
Machine Learning Engineer,85000,2,0,0,1,1
Data Analyst,85000,2,2,1,0,0
Data Analyst,85700,0,1,2,2,0
Data Engineer,86000,2,2,0,2,0
Data Engineer,86698,2,1,1,2,1
Data Analyst,86698,0,1,2,2,1
Data Engineer,86698,2,1,1,2,1
Data Scientist,86698,0,1,1,2,1
Lead Data Analyst,87000,2,2,1,0,0
Data Scientist,87738,2,0,2,1,1
Data Scientist,88100,0,1,2,2,0
Data Scientist,88100,0,1,2,2,0
Marketing Data Analyst,88654,2,2,2,1,1
Machine Learning Engineer,88654,2,1,1,1,1
Data Scientist,88654,1,2,1,1,1
Data Analyst,89200,2,1,2,2,0
Cloud Data Engineer,89294,1,2,1,1,1
Data Scientist,89494,0,1,1,2,1
Research Scientist,89494,1,2,2,2,1
Machine Learning Engineer,90000,0,1,1,2,0
Data Engineer,90000,2,1,2,2,0
Data Analyst,90000,2,1,2,2,0
Data Engineer,90000,0,1,2,2,0
Data Scientist,90000,0,1,1,2,0
Data Analyst,90000,2,1,1,1,0
Data Engineer,90000,2,2,1,1,0
Data Analyst,90000,2,0,0,1,0
Data Scientist,90000,2,0,0,1,0
Data Science Consultant,90000,2,0,0,1,0
Data Analyst,90320,0,1,2,2,0
Data Analyst,90320,2,1,2,2,0
Data Analyst,90320,2,1,2,2,0
Data Analyst,90320,2,1,2,2,0
Data Analyst,90320,2,1,2,2,0
Data Analyst,90320,2,1,2,2,0
Data Architect,90700,2,1,2,2,1
Data Scientist,90734,1,2,1,1,1
Data Scientist,90734,1,2,1,1,1
Data Analyst,91000,2,2,0,0,0
Data Scientist,91237,0,0,2,0,1
Data Engineer,91652,0,1,1,2,1
Data Scientist,92000,2,2,2,2,0
Data Scientist,92000,2,2,2,2,0
Data Operations Analyst,92250,0,1,2,2,0
Analytics Engineer,92891,0,1,2,2,1
Data Engineer,92891,0,1,1,2,1
Data Engineer,92891,2,1,1,2,1
Machine Learning Engineer,92891,0,1,1,2,1
Data Engineer,92891,0,1,1,2,1
Data Engineer,92891,2,1,1,2,1
Data Scientist,93000,0,1,0,2,0
Data Analyst,93000,2,2,1,1,0
Data Engineer,93150,0,1,1,1,0
Data Analyst,93700,2,1,2,2,0
Data Analyst,93700,2,1,2,2,0
Data Engineer,93700,2,1,2,2,0
Machine Learning Engineer,94564,1,2,2,1,1
Data Science Manager,94665,1,2,2,1,1
Data Analyst,95000,0,1,2,2,0
Data Analyst,95000,0,1,2,2,0
Data Analyst,95000,2,1,2,2,0
Data Specialist,95000,2,1,2,2,0
Data Scientist,95550,0,1,2,2,0
Computer Vision Software Engineer,95746,2,0,1,1,0
Research Scientist,96113,1,2,2,1,1
Lead Machine Learning Engineer,96209,1,2,2,2,1
Data Engineer,96282,1,2,2,1,1
Data Engineer,97000,2,1,2,2,0
Data Analyst,97500,2,2,1,2,0
Data Manager,98000,0,1,1,2,0
Data Manager,98000,0,1,1,2,0
BI Data Analyst,98000,0,1,1,0,0
ML Engineer,98200,2,2,1,2,0
Data Engineer,99000,0,1,2,2,0
Data Analyst,99000,0,1,2,2,0
Data Analyst,99000,0,1,2,2,0
Data Analyst,99000,0,1,2,2,0
Data Analyst,99050,2,1,2,2,0
Data Engineer,99084,2,1,1,2,1
Data Engineer,99084,0,1,1,2,1
Data Engineer,99084,2,1,1,2,1
Data Scientist,99084,0,1,2,2,1
Data Engineer,99100,0,1,2,2,0
Data Engineer,99100,0,1,1,2,0
Data Scientist,99360,2,1,2,2,0
Data Analyst,99450,2,1,2,2,0
Data Analyst,99450,2,1,2,2,0
Big Data Architect,99703,1,1,2,1,1
Data Analyst,99750,2,1,2,2,0
Data Scientist,100000,2,1,1,2,0
Data Engineer,100000,0,1,2,2,0
Data Analyst,100000,2,1,1,2,0
Data Analyst,100000,0,1,2,2,0
Data Analyst,100000,2,1,2,2,0
ML Engineer,100000,2,1,1,2,0
Data Scientist,100000,2,1,0,2,0
Data Operations Engineer,100000,2,1,1,2,0
Data Operations Engineer,100000,2,1,1,2,0
Data Engineer,100000,0,1,1,2,0
Analytics Engineer,100000,2,1,2,2,0
Data Operations Engineer,100000,2,1,1,2,0
Data Engineer,100000,2,1,2,2,0
Data Engineer,100000,0,2,2,2,0
Data Scientist,100000,0,2,2,2,0
Machine Learning Engineer,100000,2,1,2,2,0
Business Data Analyst,100000,2,2,2,2,0
Data Engineer,100000,2,1,2,2,0
Data Analyst,100000,2,1,2,2,0
Data Engineer,100000,2,1,2,2,0
Data Analyst,100000,2,1,2,2,0
Data Engineer,100000,2,1,2,2,0
Data Scientist,100000,2,1,2,2,0
Data Scientist,100000,2,1,1,2,0
Data Scientist,100000,0,0,0,1,0
Data Scientist,100000,1,1,0,2,1
Financial Data Analyst,100000,1,2,0,2,0
Machine Learning Developer,100000,1,0,0,1,1
Data Engineer,100000,2,2,1,1,0
BI Data Analyst,100000,2,1,1,1,0
Research Scientist,100000,0,2,0,1,1
Data Scientist,100000,2,1,0,1,0
Business Data Analyst,100000,2,2,0,0,0
Data Engineer,100800,2,2,2,2,0
Data Scientist,101570,2,1,2,2,0
Data Engineer,101570,2,1,2,2,0
Data Engineer,102100,0,1,2,2,0
Data Engineer,102100,0,1,2,2,0
Data Architect,102100,0,1,2,2,0
Data Analyst,102100,2,1,2,2,0
Data Scientist,102100,0,1,1,2,0
Data Scientist,102799,2,1,1,2,1
Head of Data,102839,2,2,2,1,1
Data Science Consultant,103000,2,2,1,0,0
Lead Data Engineer,103160,2,0,2,1,1
Analytics Engineer,103265,2,1,2,2,1
Data Scientist,103691,2,2,2,1,1
Data Scientist,104000,2,1,2,2,0
Analytics Engineer,104038,0,1,2,2,1
Data Scientist,104300,0,2,2,2,0
Data Scientist,104890,2,1,2,2,0
Data Operations Engineer,105000,0,1,2,2,0
Data Analyst,105000,0,1,1,2,0
Data Specialist,105000,2,2,0,2,0
Data Engineer,105000,2,1,2,2,0
Data Engineer,105000,0,1,2,2,0
Data Analyst,105000,2,1,2,2,0
Data Engineer,105000,2,1,2,2,0
Data Scientist,105000,2,2,1,0,0
Staff Data Scientist,105000,2,1,2,1,0
Data Scientist,105000,2,0,0,0,0
Data Engineer,105224,2,1,2,2,1
Data Engineer,105276,0,1,1,2,1
Data Analytics Manager,105400,2,1,2,2,0
Data Engineer,105700,0,2,2,2,0
Data Engineer,106000,2,2,1,0,0
Data Analyst,106260,0,1,1,2,0
Data Analyst,106260,2,1,2,2,0
Data Scientist,106800,2,1,2,2,0
Machine Learning Engineer,108000,0,0,0,2,0
Data Scientist,108000,1,2,1,2,0
Analytics Engineer,108000,2,1,1,2,0
Applied Machine Learning Scientist,108000,0,2,2,2,0
Data Engineer,108800,0,1,2,2,0
Data Scientist,109000,1,2,1,1,0
Big Data Engineer,109024,1,1,2,0,1
Data Analyst,109280,2,1,2,2,0
Data Analyst,109280,2,1,2,2,0
Data Analytics Manager,109280,2,1,2,2,0
Data Engineer,110000,2,1,2,2,0
Data Engineer,110000,0,1,2,2,0
Data Engineer,110000,0,1,2,2,0
Analytics Engineer,110000,2,1,2,2,0
Machine Learning Engineer,110000,0,1,2,2,1
Analytics Engineer,110000,2,1,2,2,0
Data Analyst,110000,0,1,2,2,0
Data Scientist,110000,2,1,0,2,1
Data Analyst,110000,2,1,3,2,0
Data Analytics Engineer,110000,2,2,1,1,0
Head of Data Science,110000,0,0,1,1,0
Data Engineer,110000,2,2,1,1,0
Data Engineer,110000,2,2,1,0,0
Applied Data Scientist,110037,0,2,0,1,1
Data Engineer,110500,2,1,2,2,0
Data Analyst,110600,0,1,2,2,0
Data Analyst,110600,0,1,2,2,0
Data Analyst,110600,0,1,2,2,0
Data Analyst,110925,2,1,2,2,0
Data Analyst,110925,2,1,2,2,0
Data Engineer,111469,0,1,1,2,1
Data Scientist,111469,0,1,1,2,1
Data Engineer,111469,0,1,1,2,1
Data Scientist,111469,0,1,2,2,1
Data Engineer,111775,0,1,1,1,0
Data Analyst,112000,2,1,1,2,0
Data Engineer,112000,2,2,1,1,0
Machine Learning Scientist,112300,2,2,1,2,0
Data Engineer,112872,1,2,1,0,1
Data Analyst,112900,0,1,2,2,0
Data Analyst,112900,2,1,2,2,0
Data Analyst,112900,2,1,2,2,0
Data Analyst,112900,2,1,2,2,0
Data Analyst,112900,2,1,2,2,0
Data Analyst,113000,2,1,2,2,0
Data Analyst,113000,0,2,1,2,0
Data Analytics Consultant,113000,2,2,1,2,0
Data Engineer,113000,0,2,2,2,0
Director of Data Engineering,113476,2,1,2,1,1
Data Architect,113900,2,1,2,2,0
Big Data Engineer,114047,2,0,2,0,1
Data Engineer,115000,0,1,2,2,0
Data Analyst,115000,2,1,2,2,0
Data Engineer,115000,0,1,2,2,0
Data Analyst,115000,0,2,2,2,0
Data Engineer,115000,2,1,2,2,0
Machine Learning Engineer,115000,1,2,0,2,0
Data Engineer,115000,2,1,2,2,0
Data Engineer,115000,2,1,2,2,0
Data Engineer,115000,2,0,2,1,0
Lead Data Scientist,115000,0,2,1,0,1
Data Scientist,115000,1,2,1,1,0
Data Scientist,115360,2,1,1,2,0
Data Analyst,115500,2,1,1,2,0
Data Scientist,115816,0,1,1,2,1
Data Analyst,115934,2,1,2,2,0
Data Analyst,115934,0,1,2,2,0
Data Analyst,115934,2,1,2,2,0
Data Analyst,116000,0,1,2,2,0
Lead Data Engineer,116073,2,0,3,2,1
Machine Learning Engineer,116100,2,1,2,2,1
Data Engineer,116100,2,1,3,2,0
Data Analyst,116150,2,1,2,2,0
Data Scientist,116914,1,2,1,1,1
Data Engineer,117000,0,1,2,2,0
Data Analyst,117000,2,1,2,2,0
Data Analyst,117000,2,1,2,2,0
Machine Learning Manager,117104,1,2,2,0,1
Machine Learning Engineer,117662,0,1,1,2,1
Data Scientist,118000,2,1,1,0,0
Data Scientist,118900,0,1,1,2,1
Data Analyst,119000,0,1,2,2,0
Data Scientist,119059,2,1,1,1,1
Data Scientist,119300,0,2,2,2,0
Data Scientist,119300,0,2,2,2,0
Data Scientist,120000,2,1,1,2,0
Data Analyst,120000,0,1,2,2,0
Data Scientist,120000,2,0,2,2,0
Analytics Engineer,120000,0,1,2,2,0
Data Scientist,120000,2,1,2,2,0
AI Scientist,120000,0,1,1,2,0
Data Scientist,120000,0,2,2,2,0
Machine Learning Engineer,120000,2,1,2,2,0
Data Scientist,120000,2,1,1,2,0
Machine Learning Engineer,120000,2,0,2,2,1
Machine Learning Engineer,120000,2,0,1,2,0
Research Scientist,120000,2,2,0,2,0
Data Engineer,120000,2,1,0,2,0
Machine Learning Scientist,120000,1,0,2,1,0
Data Analytics Manager,120000,2,1,2,1,0
